year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual_mean,daily_max,daily_min
1950,163.47,163.72,163.69,162.69,162.79,162.82,162.93,163.22,163.27,163.20,163.03,163.27,163.18,164.43,162.28
1951,163.32,163.51,163.39,164.21,163.16,163.36,163.30,163.26,163.28,163.66,164.01,164.29,163.56,166.38,162.46
1952,163.81,163.88,163.62,163.05,165.06,163.89,163.67,163.41,163.14,163.18,163.16,163.20,163.59,166.87,162.13
1953,163.61,163.59,NA,NA,NA,162.96,162.98,163.11,162.99,163.14,163.09,162.97,163.13,163.87,161.65
1954,163.43,163.65,163.78,162.78,162.82,163.38,163.06,163.10,163.17,163.96,163.53,163.51,163.35,165.40,162.02
1955,163.70,163.71,163.61,163.65,162.97,162.97,162.98,162.69,162.88,162.87,163.14,163.44,163.22,164.22,161.90
1956,163.88,163.80,163.68,162.98,162.72,162.12,162.97,163.18,164.00,163.97,163.45,163.60,163.43,164.67,161.76
1957,163.83,163.86,163.57,162.69,163.06,162.89,163.28,163.10,163.53,163.60,163.69,163.76,163.40,164.31,162.06
1958,164.04,164.25,163.94,163.22,163.23,163.04,163.17,163.35,163.30,163.25,163.49,163.75,163.49,164.59,161.89
1959,163.96,163.94,163.73,162.98,162.99,162.74,162.84,162.95,162.68,162.71,162.98,163.44,163.16,164.54,161.67
1960,163.81,163.63,163.65,163.10,164.38,163.57,163.83,163.72,163.49,163.27,163.54,164.23,163.69,165.84,162.60
1961,164.23,164.00,163.65,162.74,162.60,162.69,163.09,162.99,163.57,163.44,163.21,163.37,163.29,164.58,162.18
1962,163.96,164.29,163.93,162.65,162.88,162.76,162.97,163.21,162.98,162.65,162.55,163.13,163.16,164.61,162.07
1963,163.44,163.31,163.38,162.75,162.70,162.59,162.66,162.70,162.63,163.07,163.10,163.50,162.99,164.10,162.08
1964,163.66,163.46,163.19,162.99,162.72,162.95,162.68,162.80,162.85,163.26,163.15,163.59,163.09,164.02,162.00
1965,164.07,163.91,163.36,162.27,162.80,162.70,162.80,163.02,163.00,164.41,164.11,163.80,163.35,165.53,161.71
1966,163.77,163.79,163.66,163.40,163.60,163.48,163.29,163.28,163.22,163.29,163.42,163.39,163.46,164.29,161.90
1967,163.86,164.24,163.99,163.26,163.88,164.06,163.35,163.41,163.33,163.18,164.65,163.67,163.73,165.24,161.90
1968,164.24,164.14,163.68,163.01,163.42,163.44,163.47,163.32,162.66,162.71,162.91,163.52,163.38,164.63,161.80
1969,164.61,164.32,163.92,162.78,162.80,163.41,163.50,162.99,162.84,163.14,163.27,163.69,163.44,164.96,161.53
1970,163.87,163.82,163.41,162.96,163.53,164.16,163.75,163.52,163.21,163.27,163.58,163.42,163.54,165.49,162.21
1971,163.73,164.05,163.63,162.46,163.03,163.19,163.46,163.19,163.44,163.22,162.96,163.34,163.30,164.61,161.71
1972,163.64,163.20,162.90,163.31,163.50,163.64,164.12,163.77,163.48,163.52,163.72,163.56,163.52,164.53,162.80
1973,163.60,163.77,163.77,163.57,163.94,164.03,163.96,163.32,163.84,163.96,163.94,164.21,163.86,165.03,162.84
1974,163.72,163.67,163.52,162.86,164.48,165.99,164.17,163.45,163.08,163.01,163.74,163.89,163.79,167.47,161.93
1975,164.22,163.75,163.45,163.35,163.09,163.37,163.11,162.85,163.00,162.91,162.86,163.25,163.24,164.46,162.25
1976,164.01,164.19,163.55,163.69,164.44,163.11,163.24,163.65,163.35,162.79,162.62,163.93,163.57,165.09,162.55
1977,164.00,164.25,164.02,163.64,163.85,162.83,162.78,162.76,162.83,162.65,162.58,163.58,163.31,164.99,161.92
1978,163.82,164.06,162.91,162.50,162.44,162.91,162.92,163.00,162.78,162.64,162.49,162.80,162.93,164.51,161.71
1979,164.03,164.26,163.76,163.52,164.67,163.23,162.93,162.98,163.03,163.39,163.77,164.05,163.63,166.76,162.39
1980,164.28,164.12,163.43,163.19,162.67,162.98,162.95,162.93,162.92,163.20,163.35,163.41,163.28,164.40,162.32
1981,164.37,163.96,164.20,164.62,164.55,164.19,163.14,162.98,162.97,162.92,162.95,162.95,163.63,165.31,162.41
1982,163.27,163.75,163.33,162.97,162.67,162.56,162.20,162.86,162.64,162.87,162.77,162.78,162.86,163.99,161.85
1983,163.78,163.74,163.52,162.98,164.68,164.04,163.04,163.13,162.97,162.79,162.54,162.92,163.36,165.76,162.18
1984,163.58,163.25,163.43,163.39,163.19,163.68,163.16,163.00,163.16,163.05,163.34,163.30,163.29,164.25,162.61
1985,163.98,163.78,163.63,163.28,163.28,162.99,163.01,163.58,163.11,163.07,163.10,163.27,163.34,164.39,162.23
1986,163.53,163.47,162.45,162.81,163.46,163.51,163.06,162.91,162.90,162.96,162.75,163.41,163.10,164.45,162.18
1987,163.54,163.35,162.79,162.71,162.21,162.82,162.56,162.48,162.53,162.57,162.95,163.15,162.80,163.77,162.06
1988,163.90,163.46,162.40,163.03,163.26,162.67,162.64,162.98,163.11,164.02,164.86,163.84,163.35,165.18,162.05
1989,163.74,163.73,163.42,163.08,163.06,163.20,162.77,162.61,162.70,163.03,163.56,163.81,163.22,164.00,162.43
1990,163.69,163.53,163.00,162.99,162.67,162.97,163.07,163.29,162.90,163.18,163.53,163.74,163.22,163.94,162.25
1991,163.83,164.14,163.83,163.89,163.25,162.99,162.75,162.53,162.75,163.23,163.35,163.61,163.34,164.50,162.44
1992,163.73,163.75,163.23,162.92,163.85,163.07,162.96,162.91,163.11,163.70,163.66,163.63,163.38,164.50,162.10
1993,163.77,163.90,163.02,162.64,162.40,162.49,162.69,162.60,162.66,163.30,163.87,163.50,163.06,164.97,162.24
1994,164.31,164.57,163.45,162.46,163.83,163.69,163.76,163.11,162.59,162.52,162.78,163.38,163.37,164.83,162.00
1995,163.47,163.93,163.55,162.28,162.79,163.14,162.65,162.43,162.37,162.37,162.75,163.15,162.90,164.21,161.88
1996,163.37,163.34,162.99,162.51,164.06,163.24,162.64,162.85,162.83,162.90,162.83,163.09,163.05,164.61,161.94
1997,163.45,163.46,163.15,163.59,165.26,163.72,163.53,163.11,162.70,162.54,163.07,163.42,163.42,165.53,162.21
1998,163.28,162.67,162.61,163.61,162.46,162.51,162.80,162.19,162.17,162.21,162.25,162.87,162.64,164.28,162.02
1999,163.73,163.45,162.95,162.60,163.19,163.44,162.67,162.32,162.17,162.89,163.73,163.77,163.07,164.80,161.97
2000,164.03,163.81,162.89,162.18,163.68,163.53,163.27,162.87,162.93,162.77,162.74,162.98,163.14,164.88,161.87
2001,163.13,163.22,162.65,162.45,162.03,162.47,162.66,162.39,162.71,163.01,163.43,163.57,162.81,163.73,161.85
2002,163.74,163.73,163.93,163.60,164.39,163.93,163.23,162.91,162.67,162.51,162.44,162.60,163.30,164.98,162.00
2003,163.36,163.32,163.11,162.45,162.20,162.32,162.49,163.44,162.57,163.19,164.21,164.14,163.07,165.48,161.96
2004,163.96,163.98,163.41,162.76,164.43,163.16,162.81,162.74,162.84,162.30,162.30,162.61,163.11,164.97,162.23
2005,163.42,163.63,162.96,163.26,163.52,162.72,162.58,162.58,162.45,162.56,162.89,163.53,162.99,164.46,162.13
2006,163.68,163.72,163.68,163.52,163.25,162.73,163.24,163.02,162.94,163.55,164.21,164.10,163.47,164.67,162.36
2007,163.89,164.06,163.46,162.57,162.45,163.17,162.85,162.39,162.37,162.23,162.31,162.46,162.84,164.20,162.17
2008,163.09,163.78,163.34,163.46,163.69,163.12,164.08,164.24,163.41,162.98,163.09,163.47,163.48,165.02,162.48
2009,163.67,163.48,163.35,163.75,163.88,163.51,163.84,163.38,162.97,162.79,162.95,162.76,163.36,164.19,162.56
2010,163.09,163.22,162.82,162.19,161.97,162.09,162.09,162.00,162.39,163.03,162.87,163.64,162.62,164.04,161.81
2011,163.60,163.46,163.49,163.05,163.41,163.27,162.68,162.32,162.38,162.17,162.15,162.78,162.89,163.99,162.03
2012,163.31,163.30,163.17,163.01,162.40,162.11,161.97,161.94,161.99,162.69,162.90,163.14,162.66,163.65,161.91
2013,163.47,163.75,163.55,163.67,164.66,164.09,162.48,162.23,162.34,163.12,163.70,163.51,163.38,164.83,162.05
2014,163.61,163.60,162.79,162.94,164.17,163.19,162.63,162.61,162.86,163.66,163.54,163.53,163.26,164.65,162.18
2015,163.77,163.76,162.79,162.56,162.40,162.15,162.39,162.67,162.80,162.42,162.83,163.51,162.83,164.15,162.02
2016,164.00,164.05,163.98,164.24,164.40,163.93,162.68,162.33,162.40,162.46,162.46,163.22,163.34,164.79,162.04
2017,163.43,163.24,163.70,164.15,165.77,164.32,163.28,162.80,162.92,162.67,162.88,163.49,163.56,166.17,162.28
2018,164.00,163.64,162.94,162.27,164.00,163.83,162.90,163.00,163.80,163.97,163.57,163.00,163.41,164.00,162.00
2019,163.78,163.82,163.24,163.47,165.84,164.57,162.92,162.19,162.28,162.86,163.10,162.82,163.41,166.47,161.93
2020,163.32,163.48,163.37,164.19,163.36,163.68,162.76,163.23,163.71,163.79,163.69,163.61,163.51,164.41,162.29
2021,163.85,163.81,163.39,162.22,161.90,161.89,162.34,161.99,162.77,163.56,163.06,163.16,162.82,164.24,161.83
2022,163.75,163.48,163.04,164.09,165.10,165.13,163.23,162.94,162.83,162.61,162.71,163.08,163.50,166.49,162.36
2023,163.20,163.41,163.34,163.82,164.39,162.68,162.99,163.24,163.06,163.02,163.57,163.41,163.34,165.23,162.32
2024,163.54,163.90,162.84,162.32,162.14,163.49,162.97,162.48,163.33,163.01,163.14,163.27,163.03,164.37,162.01
2025,163.49,163.63,163.75,164.02,164.64,162.95,163.29,162.48,162.36,162.33,162.10,162.59,163.13,165.09,161.98
